,sala,,to_py,,ex_st_op,,bonus,,res_sto,,sh_rc_pi,,tt_st_vl,,exp,
,pre,rec,pre,rec,pre,rec,pre,rec,pre,rec,pre,rec,pre,rec,pre,rec
NB,0.40867,0.28729,0.45426,0.288,0.37289,0.2545,0.44576,0.2815,0.43006,0.2675,0.57803,0.2815,0,0,0.0562,0.0145
LR,0.23567,0.074,0.29954,0.1315,0.33081,0.131,0.39281,0.164,0.28552,0.1065,0.11094,0.071,0,0,0,0
RF,0.46649,0.174,0.46419,0.1685,0.38472,0.1435,0.28932,0.0975,0.33496,0.137,0.33333,0.1395,0.31646,0.1625,0.43394,0.202
AB,0.40059,0.273,0.43431,0.319,0.46058,0.3155,0.40458,0.2915,0.44742,0.317,0.38104,0.3275,0.3868,0.3195,0.39693,0.207
GB,0.44771,0.289,0.45931,0.285,0.4279,0.2715,0.37027,0.2005,0.35189,0.2275,0.25114,0.165,0.36515,0.2735,0.32263,0.196
